City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuktoyaktuk,CA,2021-02-03 05:40:37,69.4541,-133.0374,-41.8,66,1,2.3
68,Agirish,RU,2021-02-03 05:41:03,61.9247,63.0231,10.85,95,93,8.75
69,Barrow,US,2021-02-03 05:40:35,71.2906,-156.7887,-25.6,68,1,14.97
70,Provideniya,RU,2021-02-03 05:40:14,64.3833,-173.3,4.59,91,100,16.11
71,Maragogi,BR,2021-02-03 05:48:55,-9.0122,-35.2225,77.04,85,24,7.58
72,Tuatapere,NZ,2021-02-03 05:40:40,-46.1333,167.6833,58.15,62,64,7.52
73,Avera,US,2021-02-03 05:40:19,33.194,-82.5271,37.4,48,1,13.8
74,Wanaka,NZ,2021-02-03 05:50:06,-44.7,169.15,74.62,40,12,3.29
75,Coahuayana,MX,2021-02-03 05:50:06,18.7333,-103.6833,70.18,73,13,2.13
76,Rio Gallegos,AR,2021-02-03 05:39:07,-51.6226,-69.2181,60.8,59,0,24.16
77,Monrovia,LR,2021-02-03 05:45:56,6.3005,-10.7969,77.0,94,75,3.44
78,Texarkana,US,2021-02-03 05:47:26,33.4251,-94.0477,44.6,57,1,4.61
79,Chuy,UY,2021-02-03 05:41:09,-33.6971,-53.4616,71.24,95,87,5.5
80,Hasaki,JP,2021-02-03 05:39:25,35.7333,140.8333,51.8,29,20,13.8
81,Gavle,SE,2021-02-03 05:50:07,60.6745,17.1417,15.01,78,100,10.0
82,Olafsvik,IS,2021-02-03 05:40:57,64.8945,-23.7142,34.7,81,100,16.13
83,Ilulissat,GL,2021-02-03 05:40:43,69.2167,-51.1,-5.8,65,0,20.71
84,Ancud,CL,2021-02-03 05:41:14,-41.8697,-73.8203,52.0,87,0,4.61
85,Haines Junction,CA,2021-02-03 05:41:17,60.7522,-137.5108,-22.0,76,95,2.28
86,Kaitangata,NZ,2021-02-03 05:40:31,-46.2817,169.8464,60.01,60,37,11.99
87,Port Elizabeth,ZA,2021-02-03 05:35:38,-33.918,25.5701,73.4,64,0,2.3
88,Salalah,OM,2021-02-03 05:50:08,17.0151,54.0924,75.2,41,0,3.44
89,Eyl,SO,2021-02-03 05:50:08,7.9803,49.8164,78.12,51,62,16.11
90,Cravinhos,BR,2021-02-03 05:50:09,-21.3403,-47.7294,71.6,94,90,6.91
91,Lavrentiya,RU,2021-02-03 05:40:32,65.5833,-171.0,1.11,84,100,22.86
92,Klaksvik,FO,2021-02-03 05:40:24,62.2266,-6.589,32.0,86,40,10.36
93,Luderitz,NA,2021-02-03 05:40:22,-26.6481,15.1594,64.62,84,3,7.63
94,Cherskiy,RU,2021-02-03 05:40:12,68.75,161.3,2.88,84,12,3.65
95,Kokopo,PG,2021-02-03 05:49:27,-4.352,152.2633,79.88,79,100,3.24
96,Yelbarga,IN,2021-02-03 05:50:10,15.6333,76.0167,81.05,30,19,13.0
97,Castro,BR,2021-02-03 05:40:18,-24.7911,-50.0119,64.18,95,82,4.09
