City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Kahului,US,64.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
276,Khash,IR,53.69,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
279,Carballo,ES,50.0,light rain,43.213,-8.691,Pazo do Souto
282,Juegang,CN,46.0,light rain,32.3174,121.1855,Rudong Y Hotel
285,Turbat,PK,58.5,clear sky,26.0023,63.044,Mubashar Quarters
286,Sungaipenuh,ID,65.08,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
287,Constitucion,CL,66.51,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
288,San Quintin,MX,61.57,clear sky,30.4833,-115.95,Old Mill Hotel
292,Te Anau,NZ,52.88,moderate rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
302,Chhagalnaiya,BD,61.65,clear sky,23.03,91.5069,Zahan Villa
308,Lata,PT,54.0,overcast clouds,40.1629,-8.3327,Casa Maquia
313,Port Elizabeth,ZA,68.0,broken clouds,-33.918,25.5701,39 On Nile Guest House
326,Ahipara,NZ,59.85,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
330,Ojuelos De Jalisco,MX,57.61,few clouds,21.8667,-101.5833,Hotel La Paz
331,Francisco Sa,BR,73.24,overcast clouds,-16.4758,-43.4883,Amaralina Hotel
334,Zhob,PK,59.85,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
348,Mount Pleasant,US,46.4,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
350,Bereda,ES,46.0,overcast clouds,43.2686,-7.5406,Pazo de Verdes
352,Kaitangata,NZ,57.99,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
355,Tateyama,JP,46.0,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
360,Mae Sot,TH,71.58,clear sky,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
366,Kaeo,NZ,59.0,broken clouds,-35.1,173.7833,Bushido Lodge
376,Wenling,CN,62.01,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
383,Santa Lucia,ES,66.2,broken clouds,27.9117,-15.5407,Las Tirajanas
387,Ponta Delgada,PT,60.8,broken clouds,37.7333,-25.6667,Vila Nova Hotel
389,Chirgaon,IN,57.11,clear sky,25.5833,78.8167,छोटू दादा की हवेली
392,Esmeraldas,BR,73.4,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
393,Eloy,US,57.0,clear sky,32.7559,-111.5548,Eloy RV & Mobile Home Park
394,Yilan,TW,64.99,overcast clouds,24.756999999999998,121.75299999999999,Dar Chen Hotel
401,Katsuura,JP,46.4,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
