City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,New Norfolk,AU,-42.7826,147.0587,55.4,58,90,9.22,overcast clouds
80,Bengkulu,ID,-3.8004,102.2655,77.36,85,100,6.42,overcast clouds
81,Coquimbo,CL,-29.9533,-71.3436,68.0,60,40,11.5,scattered clouds
82,Kondinskoye,RU,59.6481,67.41,-3.78,91,100,15.79,light snow
83,Atuona,PF,-9.8,-139.0333,79.03,76,38,21.05,scattered clouds
84,Kiruna,SE,67.8557,20.2251,21.2,73,90,6.91,overcast clouds
85,Ketchikan,US,55.3422,-131.6461,28.4,74,1,11.5,clear sky
86,Bosaso,SO,11.2842,49.1816,76.26,76,14,4.0,few clouds
87,Kautokeino,NO,69.0125,23.0412,11.16,92,91,8.9,overcast clouds
88,Severo-Kurilsk,RU,50.6789,156.125,19.8,89,94,18.63,overcast clouds
89,Bethel,US,41.3712,-73.414,28.0,93,90,4.61,heavy snow
90,Trinidad,BO,-14.8333,-64.9,87.8,66,75,5.75,broken clouds
91,Vostok,RU,46.4856,135.8833,-12.41,91,100,2.89,overcast clouds
92,Dingle,PH,10.9995,122.6711,75.78,90,100,8.61,moderate rain
93,Codrington,AU,-38.2667,141.9667,56.39,68,86,10.96,overcast clouds
94,Lagoa,PT,39.05,-27.9833,58.12,74,100,19.69,overcast clouds
95,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,77,75,16.11,broken clouds
96,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,19.57,light snow
97,Garissa,KE,-0.4536,39.6401,92.98,33,48,5.79,scattered clouds
98,Stokmarknes,NO,68.5646,14.9108,32.0,74,75,10.36,snow
99,Mitsamiouli,KM,-11.3847,43.2844,83.64,73,86,8.46,overcast clouds
100,Gizo,SB,-8.103,156.8419,82.54,75,49,7.47,light rain
101,Port Alfred,ZA,-33.5906,26.891,68.0,94,57,20.42,light rain
102,Yellowknife,CA,62.456,-114.3525,-45.0,65,1,4.61,clear sky
103,Nikolskoye,RU,59.7035,30.7861,15.8,92,75,11.18,light snow
104,Faanui,PF,-16.4833,-151.75,80.92,75,3,12.97,light rain
105,Inirida,CO,3.8653,-67.9239,83.05,83,78,2.3,broken clouds
106,Lom Sak,TH,16.7798,101.2422,74.93,48,3,2.13,clear sky
107,Inuvik,CA,68.3499,-133.7218,-14.8,76,100,9.22,overcast clouds
108,Henties Bay,NA,-22.116,14.2845,66.0,85,74,3.0,broken clouds
109,Almeirim,BR,-1.5233,-52.5817,92.32,46,51,5.21,broken clouds
